mouse,dan,1,2,671
mouse,dan,1,3,719
mouse,dan,1,4,512
mouse,dan,1,5,567
mouse,dan,1,6,496
mouse,dan,1,7,572
mouse,dan,1,8,500
mouse,dan,1,9,1008
mouse,dan,1,10,420
mouse,dan,2,2,700
mouse,dan,2,3,698
mouse,dan,2,4,624
mouse,dan,2,5,700
mouse,dan,2,6,759
mouse,dan,3,2,649
mouse,dan,3,3,550
mouse,dan,3,4,618
mouse,dan,3,5,753
mouse,dan,3,6,821
mouse,dan,3,7,693
mouse,dan,3,8,689
mouse,dan,3,9,1381
mouse,dan,3,10,896
mouse,dan,4,2,887
mouse,dan,4,3,894
mouse,dan,4,4,959
mouse,dan,4,5,1167
mouse,dan,4,6,1028
mouse,dan,1,2,671
mouse,dan,1,3,719
mouse,dan,1,4,512
mouse,dan,1,5,567
mouse,dan,1,6,496
mouse,dan,1,7,572
mouse,dan,1,8,500
mouse,dan,1,9,1008
mouse,dan,1,10,420
mouse,dan,2,2,700
mouse,dan,2,3,698
mouse,dan,2,4,624
mouse,dan,2,5,700
mouse,dan,2,6,759
mouse,dan,3,2,649
mouse,dan,3,3,550
mouse,dan,3,4,618
mouse,dan,3,5,753
mouse,dan,3,6,821
mouse,dan,3,7,693
mouse,dan,3,8,689
mouse,dan,3,9,1381
mouse,dan,3,10,896
mouse,dan,4,2,887
mouse,dan,4,3,894
mouse,dan,4,4,959
mouse,dan,4,5,1167
mouse,dan,4,6,1028
